Afghanistan	Pakistan	60200
Czech Republic	Brazil	173
Czech Republic	Bulgaria	21
Czech Republic	Canada	92
Czech Republic	Chile	11
Czech Republic	China	350
Czech Republic	Chinese Taipei	3
Czech Republic	Croatia	2
Czech Republic	Denmark	4205
Czech Republic	Dominican Republic	3
Czech Republic	Egypt	11
Czech Republic	Finland	2019
Czech Republic	France	1625
Czech Republic	Germany	103028
Czech Republic	Greece	9801
Czech Republic	Hungary	12827
Czech Republic	Iceland	22
Czech Republic	India	879
Czech Republic	Indonesia	1
Czech Republic	Italy	11046
Czech Republic	Japan	178
Czech Republic	Latvia	32
Czech Republic	Lithuania	1056
Czech Republic	Malaysia	894
Czech Republic	Mexico	4
Czech Republic	Morocco	1
Czech Republic	Netherlands	16530
Czech Republic	Norway	5
Czech Republic	Palestine	1
Czech Republic	Peru	1
Czech Republic	Poland	53997
Czech Republic	Portugal	3
Czech Republic	Republic of Korea	19
Czech Republic	Romania	447
Czech Republic	Russian Federation	102
Czech Republic	Serbia	1
Czech Republic	Sierra Leone	3
Czech Republic	Slovakia	35133
Czech Republic	South Africa	17
Czech Republic	Spain	12533
Czech Republic	Sweden	16518
Czech Republic	Switzerland	49
Czech Republic	Thailand	42
Czech Republic	The former Yugoslav Republic of Macedonia	77
Czech Republic	Uganda	552
Czech Republic	Ukraine	4707
Czech Republic	United Kingdom	474
Czech Republic	United States of America	2603
Czech Republic	Viet Nam	1
CutedIvoire	Argentina	53
CutedIvoire	Belgium	178
CutedIvoire	Brazil	1601
CutedIvoire	Canada	1
CutedIvoire	China	198
CutedIvoire	Chinese Taipei	1
CutedIvoire	Egypt	14
CutedIvoire	France	1220
CutedIvoire	Germany	123
CutedIvoire	Ghana	421
CutedIvoire	India	44
CutedIvoire	Indonesia	5982
CutedIvoire	Italy	1553
CutedIvoire	Lebanon	81
CutedIvoire	Liberia	1
CutedIvoire	Malaysia	392
CutedIvoire	Morocco	2653
CutedIvoire	Netherlands	424
CutedIvoire	Portugal	114
CutedIvoire	Russian Federation	559
CutedIvoire	Senegal	48
CutedIvoire	South Africa	17
CutedIvoire	Spain	8300
CutedIvoire	Sweden	49
CutedIvoire	Switzerland	9
CutedIvoire	Thailand	10
CutedIvoire	Tunisia	346
CutedIvoire	Turkey	2782
CutedIvoire	United Arab Emirates	157
CutedIvoire	United Kingdom	69
CutedIvoire	United States of America	304
Democratic People's Republic of Korea	Brazil	251
Democratic People's Republic of Korea	Canada	377
Democratic People's Republic of Korea	China	45354
Democratic People's Republic of Korea	Chinese Taipei	3574
Democratic People's Republic of Korea	Germany	30
Democratic People's Republic of Korea	Hong Kong (SARC)	4
Democratic People's Republic of Korea	Indonesia	14
Democratic People's Republic of Korea	Italy	43
Democratic People's Republic of Korea	Japan	36
Democratic People's Republic of Korea	Malaysia	177
Democratic People's Republic of Korea	Singapore	805
Democratic People's Republic of Korea	Sweden	5
Democratic People's Republic of Korea	Thailand	1752
Democratic People's Republic of Korea	United States of America	2295
Democratic Republic of the Congo	Argentina	26
Democratic Republic of the Congo	Belgium	534
Democratic Republic of the Congo	Brazil	95
Democratic Republic of the Congo	Burundi	38
Democratic Republic of the Congo	CutedIvoire	4636
Democratic Republic of the Congo	France	395
Democratic Republic of the Congo	Germany	6
Democratic Republic of the Congo	Indonesia	32926
Democratic Republic of the Congo	Italy	150
Democratic Republic of the Congo	Kenya	10589
Democratic Republic of the Congo	Lebanon	26
Democratic Republic of the Congo	Malaysia	14437
Democratic Republic of the Congo	Namibia	59
Democratic Republic of the Congo	Netherlands	1086
Democratic Republic of the Congo	Portugal	91
Democratic Republic of the Congo	Rwanda	7
Democratic Republic of the Congo	South Africa	3978
Democratic Republic of the Congo	Turkey	8
Democratic Republic of the Congo	Uganda	10188
Democratic Republic of the Congo	United Kingdom	2
Democratic Republic of the Congo	United States of America	7200
Democratic Republic of the Congo	Zambia	1111
Denmark	Australia	32
Denmark	Austria	314
Denmark	Belgium	22080
Denmark	Brazil	6890
Denmark	Bulgaria	3
Denmark	Canada	1214
Denmark	Chile	17226
Denmark	China	195
Denmark	Chinese Taipei	1
Denmark	Czech Republic	5
Denmark	Estonia	1
Denmark	Faroe Islands	2
Denmark	Finland	448
Denmark	France	10773
Denmark	Germany	268804
Denmark	Greece	793
Denmark	Greenland	4
Denmark	Iceland	12710
Denmark	India	2092
Denmark	Indonesia	18956
Denmark	Ireland	3028
Denmark	Italy	18980
Denmark	Japan	12
Denmark	Jordan	1
Denmark	Latvia	3
Denmark	Lebanon	17
Denmark	Lithuania	218
Denmark	Malaysia	134098
Denmark	Mexico	31
Denmark	Morocco	3037
Denmark	Netherlands	51833
Denmark	New Zealand	14
Denmark	Norway	23400
Denmark	Peru	59352
Denmark	Philippines	447
Denmark	Poland	86
Denmark	Portugal	353
Denmark	Russian Federation	2260
Denmark	Singapore	31
Denmark	South Africa	8
Denmark	Spain	4498
Denmark	Sri Lanka	16
Denmark	Sweden	64975
Denmark	Switzerland	2
Denmark	Syrian Arab Republic	2
Denmark	Thailand	10
Denmark	Tunisia	45
Denmark	Turkey	3834
Denmark	United Kingdom	16706
Denmark	United States of America	52968
Denmark	Uruguay	969
Djibouti	Belgium	108
Djibouti	Egypt	63
Djibouti	France	274
Djibouti	India	31
Djibouti	Indonesia	7209
Djibouti	Italy	18
Djibouti	Kenya	108
Djibouti	Malaysia	114268
Djibouti	Oman	766
Djibouti	Pakistan	149
Djibouti	Portugal	178
Djibouti	Singapore	3374
Djibouti	South Africa	66
Djibouti	Spain	216
Djibouti	Thailand	21
Djibouti	United Arab Emirates	5838
Djibouti	United States of America	23055
Djibouti	Yemen	120
Dominica	Argentina	60
Dominica	Barbados	1458
Dominica	Belgium	34
Dominica	Canada	12
Dominica	China	3
Dominica	Dominican Republic	26
Dominica	France	1
Dominica	Guyana	1159
Dominica	Italy	3
Dominica	Jamaica	25
Dominica	Mexico	2
Dominica	Trinidad and Tobago	157
Dominica	United Kingdom	16
Dominica	United States of America	5228
Dominican Republic	Argentina	78812
Dominican Republic	Australia	81
Dominican Republic	Belgium	451
Dominican Republic	Bermuda	36
Dominican Republic	Bolivia	51
Dominican Republic	Brazil	201
Dominican Republic	Canada	3
Dominican Republic	Chile	242
Dominican Republic	China	92
Dominican Republic	Colombia	10576
Dominican Republic	Costa Rica	440
Dominican Republic	Denmark	535
Dominican Republic	France	2
Dominican Republic	Germany	538
Dominican Republic	Guatemala	15
Dominican Republic	Haiti	12
Dominican Republic	India	6
Dominican Republic	Indonesia	227
Dominican Republic	Italy	488
Dominican Republic	Jamaica	39
Dominican Republic	Japan	5
Dominican Republic	Lebanon	4
Dominican Republic	Malaysia	293
Dominican Republic	Mexico	9
Dominican Republic	Netherlands	69
Dominican Republic	Singapore	138
Dominican Republic	Spain	4223
Dominican Republic	Sweden	1391
Dominican Republic	Trinidad and Tobago	16
Dominican Republic	Turkey	32
Dominican Republic	United Kingdom	48
Dominican Republic	United States of America	121729
Dominican Republic	Uruguay	2
Ecuador	Argentina	116386
Ecuador	Belgium	238
Ecuador	Bolivia	29691
Ecuador	Brazil	1972
Ecuador	Canada	316
Ecuador	Chile	45
Ecuador	China	44
Ecuador	Chinese Taipei	3
Ecuador	Colombia	1016
Ecuador	France	72
Ecuador	Germany	73
Ecuador	India	1
Ecuador	Indonesia	43
Ecuador	Italy	1722
Ecuador	Malaysia	607
Ecuador	Mexico	3
Ecuador	Netherlands	29
Ecuador	Paraguay	9029
Ecuador	Peru	155
Ecuador	Republic of Korea	52
Ecuador	Singapore	24
Ecuador	Spain	1550
Ecuador	Switzerland	9
Ecuador	United Kingdom	41
Ecuador	United States of America	5847
Egypt	Argentina	443325
Egypt	Belgium	282
Egypt	Brazil	58051
Egypt	Canada	2
Egypt	China	5693
Egypt	Chinese Taipei	90
Egypt	Cyprus	294
Egypt	Denmark	742
Egypt	France	410
Egypt	Germany	2457
Egypt	Greece	462
Egypt	Iceland	135
Egypt	India	675
Egypt	Indonesia	472634
Egypt	Italy	1073
Egypt	Japan	1405
Egypt	Jordan	5
Egypt	Lebanon	59
Egypt	Libyan Arab Jamahiriya	127
Egypt	Malaysia	241831
Egypt	Mexico	51
Egypt	Morocco	3
Egypt	Netherlands	1064
Egypt	Oman	239
Egypt	Poland	24
Egypt	Republic of Korea	35
Egypt	Romania	6
Egypt	Russian Federation	2745
Egypt	Saudi Arabia	698
Egypt	Singapore	3523
Egypt	Spain	598
Egypt	Sudan	415
Egypt	Sweden	1150
Egypt	Switzerland	9
Egypt	Syrian Arab Republic	435
Egypt	Thailand	5
Egypt	Tunisia	316
Egypt	Turkey	7778
Egypt	Ukraine	161435
Egypt	United Arab Emirates	1199
Egypt	United Kingdom	433
Egypt	United States of America	79862
Egypt	Uruguay	45
El Salvador	Argentina	320
El Salvador	Bolivia	443
El Salvador	Brazil	6
El Salvador	Canada	5083
El Salvador	Chile	15
El Salvador	China	6
El Salvador	Colombia	19
El Salvador	Costa Rica	4267
El Salvador	Dominican Republic	2
El Salvador	France	97
El Salvador	Germany	208
El Salvador	Guatemala	73178
El Salvador	Honduras	43394
El Salvador	Hong Kong (SARC)	62
El Salvador	Indonesia	21
El Salvador	Italy	822
El Salvador	Malaysia	3
El Salvador	Mexico	92
El Salvador	Netherlands	72
El Salvador	Nicaragua	531
El Salvador	Panama	28
El Salvador	Peru	480
El Salvador	Spain	1541
El Salvador	Switzerland	5
El Salvador	United Kingdom	3
El Salvador	United States of America	38457
Equatorial Guinea	Argentina	108
Equatorial Guinea	Belgium	42
Equatorial Guinea	Brazil	46
Equatorial Guinea	France	47
Equatorial Guinea	Indonesia	232
Equatorial Guinea	Italy	2
Equatorial Guinea	Lebanon	27
Equatorial Guinea	Malaysia	2321
Equatorial Guinea	Morocco	1642
Equatorial Guinea	Netherlands	1247
Equatorial Guinea	Portugal	272
Equatorial Guinea	Spain	2661
Equatorial Guinea	Tunisia	1160
Equatorial Guinea	United States of America	18
Estonia	Argentina	537
Estonia	Belarus	22
Estonia	Belgium	1379
Estonia	Brazil	1
Estonia	Canada	16
Estonia	China	10
Estonia	Czech Republic	29
Estonia	Denmark	4733
Estonia	Finland	5421
Estonia	France	147
Estonia	Germany	46833
Estonia	Greece	39
Estonia	Hong Kong (SARC)	1
Estonia	Hungary	214
Estonia	Iceland	56
Estonia	India	1
Estonia	Indonesia	5967
Estonia	Italy	690
Estonia	Latvia	2393
Estonia	Lithuania	3293
Estonia	Malaysia	291
Estonia	Netherlands	3095
Estonia	Norway	137
Estonia	Poland	4179
Estonia	Portugal	13
Estonia	Russian Federation	6635
Estonia	Slovakia	32
Estonia	South Africa	1
Estonia	Spain	879
Estonia	Sweden	2856
Estonia	Thailand	4
Estonia	Turkey	1
Estonia	Ukraine	5420
Estonia	United Kingdom	89
Estonia	United States of America	4248
Ethiopia	Belgium	299
Ethiopia	Canada	393
Ethiopia	China	118
Ethiopia	Egypt	19596
Ethiopia	France	13
Ethiopia	Germany	4
Ethiopia	Greece	3
Ethiopia	Hong Kong (SARC)	1
Ethiopia	India	245
Ethiopia	Indonesia	5068
Ethiopia	Italy	8710
Ethiopia	Japan	1
Ethiopia	Kenya	212
Ethiopia	Malaysia	162123
Ethiopia	Netherlands	112
Ethiopia	Oman	163
Ethiopia	Pakistan	1
Ethiopia	Saudi Arabia	149
Ethiopia	Singapore	2186
Ethiopia	Spain	156
Ethiopia	Thailand	32
Ethiopia	Turkey	2412
Ethiopia	United Arab Emirates	11955
Ethiopia	United Kingdom	4
Ethiopia	United States of America	28639
Ethiopia	Yemen	5288
Falkland Islands (Malvinas)	Italy	20
Falkland Islands (Malvinas)	United Kingdom	99
Finland	Australia	6
Finland	Austria	7
Finland	Belgium	8299
Finland	Bulgaria	13
Finland	Canada	41
Finland	China	361
Finland	Cyprus	52
Finland	Denmark	12937
Finland	Estonia	264
Finland	France	544
Finland	Germany	8908
Finland	Ghana	1
Finland	Greece	881
Finland	Hong Kong (SARC)	1
Finland	Iceland	472
Finland	India	803
Finland	Indonesia	7379
Finland	Ireland	336
Finland	Italy	4193
Finland	Japan	21
Finland	Latvia	67
Finland	Lithuania	1907
Finland	Malaysia	2021
Finland	Mexico	10
Finland	Netherlands	14360
Finland	Norway	8871
Finland	Philippines	1
Finland	Poland	116
Finland	Russian Federation	45
Finland	South Africa	11
Finland	Spain	3576
Finland	Sweden	59001
Finland	Switzerland	147
Finland	Thailand	37
Finland	Turkey	1
Finland	United Kingdom	9567
Finland	United Republic of Tanzania	2
Finland	United States of America	557
France	Albania	7
France	Algeria	119
France	Antigua and Barbuda	144
France	Argentina	327547
France	Australia	476
France	Austria	1373
France	Bahrain	38
France	Barbados	6
France	Belgium	538178
France	Benin	4
France	Bolivia	1739
France	Brazil	263716
France	Bulgaria	830
France	Burkina Faso	1423
France	Burundi	1
France	Cameroon	19
France	Canada	6601
France	Central African Republic	94
France	Chile	1998
France	China	4983
France	Chinese Taipei	44
France	Colombia	59
France	Croatia	37
France	Cyprus	113
France	Czech Republic	7
France	CutedIvoire	5103
France	Denmark	23243
France	Dominican Republic	44
France	Ecuador	3
France	Egypt	34
France	Ethiopia	91
France	Finland	1606
France	French Polynesia	5907
France	Gambia	1413
France	Georgia	169
France	Germany	291321
France	Ghana	62
France	Greece	3881
France	Guinea	66
France	Haiti	37
France	Hong Kong (SARC)	21
France	Hungary	19226
France	Iceland	10
France	India	152777
France	Indonesia	146539
France	Ireland	1404
France	Israel	678
France	Italy	179755
France	Japan	2822
France	Kazakhstan	9
France	Kenya	113
France	Lao People's Democratic Republic	29
France	Lebanon	91
France	Liberia	7
France	Luxembourg	127
France	Madagascar	75
France	Malawi	15
France	Malaysia	25580
France	Mali	4
France	Mauritius	35
France	Mexico	4665
France	Morocco	19823
France	Namibia	212
France	Netherland Antilles	6
France	Netherlands	525849
France	New Zealand	53
France	Nigeria	1
France	Norway	11337
France	Palestine	420
France	Paraguay	18436
France	Peru	9659
France	Philippines	32496
France	Poland	3113
France	Portugal	4154
France	Republic of Korea	100
France	Republic of Moldova	1369
France	Russian Federation	9816
France	Saudi Arabia	1
France	Senegal	14039
France	Sierra Leone	234
France	Singapore	1126
France	Slovakia	10
France	Solomon Islands	1186
France	South Africa	8390
France	Spain	573919
France	Sri Lanka	31
France	Swaziland	165
France	Sweden	9056
France	Switzerland	3578
France	Syrian Arab Republic	1
France	Thailand	4136
France	Togo	127
France	Tunisia	16855
France	Turkey	6401
France	Ukraine	127679
France	United Arab Emirates	183162
France	United Kingdom	118058
France	United States of America	8341
France	Vanuatu	1774
France	Viet Nam	4
France	Zambia	143
French Polynesia	Argentina	1016
French Polynesia	Australia	1246
French Polynesia	Belgium	1645
French Polynesia	Brazil	21
French Polynesia	China	70
French Polynesia	Denmark	60
French Polynesia	France	6950
French Polynesia	Germany	1
French Polynesia	Greece	10
French Polynesia	Hong Kong (SARC)	4
French Polynesia	Indonesia	5
French Polynesia	Italy	91
French Polynesia	Japan	3
French Polynesia	Malaysia	66
French Polynesia	Netherlands	96
French Polynesia	New Zealand	664
French Polynesia	Portugal	11
French Polynesia	Senegal	304
French Polynesia	Singapore	20
French Polynesia	Spain	450
French Polynesia	Switzerland	1
French Polynesia	Thailand	1
French Polynesia	Turkey	3
French Polynesia	United Kingdom	17
French Polynesia	United States of America	377
French South Antarctic Territories	Belgium	64
French South Antarctic Territories	Philippines	9
French South Antarctic Territories	Poland	1
Gambia	Belgium	9
Gambia	Brazil	1210
Gambia	China	2394
Gambia	CutedIvoire	60
Gambia	Denmark	598
Gambia	France	1
Gambia	Germany	1252
Gambia	Ghana	3
Gambia	Guinea	68
Gambia	Guinea-Bissau	369
Gambia	Hong Kong (SARC)	1159
Gambia	India	84
Gambia	Indonesia	236
Gambia	Italy	245
Gambia	Lebanon	1
Gambia	Liberia	14
Gambia	Malaysia	2985
Gambia	Morocco	10
Gambia	Netherlands	1002
Gambia	Nigeria	7
Gambia	Portugal	36
Gambia	Senegal	14
Gambia	Singapore	3407
Gambia	South Africa	2
Gambia	Spain	5
Gambia	Sweden	21
Gambia	Turkey	7
Gambia	United Arab Emirates	57
Gambia	United Kingdom	28
Gambia	United States of America	2398
Gambia	Yemen	21
Georgia	Argentina	444
Georgia	Armenia	29
Georgia	Australia	42
Georgia	Austria	14
Georgia	Azerbaijan	8343
Georgia	Belgium	129
Georgia	Bulgaria	1456
Georgia	Canada	3
Georgia	China	8
Georgia	Cyprus	67
Georgia	Czech Republic	1
Georgia	France	37
Georgia	Germany	123
Georgia	Greece	27
Georgia	Hungary	107
Georgia	Iran (Islamic Republic of)	1384
Georgia	Israel	10
Georgia	Italy	386
Georgia	Kuwait	2
Georgia	Malaysia	1484
Georgia	Netherlands	46
Georgia	Poland	2014
Georgia	Republic of Moldova	643
Georgia	Russian Federation	10090
Georgia	South Africa	1
Georgia	Spain	201
Georgia	Turkey	14798
Georgia	Ukraine	29990
Georgia	United Arab Emirates	27
Georgia	United Kingdom	18
Georgia	United States of America	20
Germany	Argentina	211304
Germany	Australia	1338
Germany	Austria	86419
Germany	Bangladesh	23
Germany	Belarus	211
Germany	Belgium	205830
Germany	Bolivia	3
Germany	Bosnia and Herzegovina	316
Germany	Brazil	59080
Germany	Bulgaria	49
Germany	Burkina Faso	162
Germany	Canada	1627
Germany	Central African Republic	655
Germany	Chile	643
Germany	China	11413
Germany	Chinese Taipei	650
Germany	Colombia	131550
Germany	Croatia	38
Germany	Cyprus	12
Germany	Czech Republic	32848
Germany	CutedIvoire	14340
Germany	Denmark	72161
Germany	Dominican Republic	25
Germany	Egypt	195
Germany	Estonia	1
Germany	Ethiopia	668
Germany	Fiji	1660
Germany	Finland	256
Germany	France	243504
Germany	French Polynesia	4000
Germany	Ghana	1429
Germany	Greece	38135
Germany	Guatemala	53
Germany	Hong Kong (SARC)	140
Germany	Hungary	54338
Germany	Iceland	2028
Germany	India	61421
Germany	Indonesia	900342
Germany	Iran (Islamic Republic of)	9
Germany	Ireland	119
Germany	Israel	2225
Germany	Italy	305443
Germany	Japan	5501
Germany	Jordan	43
Germany	Kenya	318
Germany	Kyrgyzstan	9
Germany	Lao People's Democratic Republic	4
Germany	Latvia	1707
Germany	Lebanon	25
Germany	Lithuania	9403
Germany	Luxembourg	1143
Germany	Malaysia	125475
Germany	Mexico	3844
Germany	Morocco	1935
Germany	Namibia	4
Germany	Netherlands	1450812
Germany	New Zealand	1488
Germany	Nigeria	40
Germany	Norway	1882
Germany	Palestine	13
Germany	Papua New Guinea	98376
Germany	Paraguay	890
Germany	Peru	1324
Germany	Philippines	48018
Germany	Poland	159098
Germany	Portugal	1814
Germany	Republic of Korea	158
Germany	Republic of Moldova	380
Germany	Romania	4226
Germany	Russian Federation	41215
Germany	Senegal	8
Germany	Serbia	5576
Germany	Singapore	985
Germany	Slovakia	2095
Germany	Slovenia	430
Germany	Solomon Islands	12
Germany	South Africa	1160
Germany	Spain	38817
Germany	Sri Lanka	77
Germany	Sweden	14439
Germany	Switzerland	15795
Germany	Syrian Arab Republic	32
Germany	Thailand	6713
Germany	Togo	10
Germany	Tunisia	250
Germany	Turkey	4402
Germany	Uganda	24
Germany	Ukraine	12774
Germany	United Arab Emirates	22212
Germany	United Kingdom	98065
Germany	United Republic of Tanzania	348
Germany	United States of America	77622
Germany	Uruguay	573
Germany	Vanuatu	2
Germany	Viet Nam	385
Ghana	Argentina	413
Ghana	Australia	1
Ghana	Belgium	2099
Ghana	Brazil	497
Ghana	Burkina Faso	7
Ghana	Canada	12
Ghana	China	142
Ghana	Chinese Taipei	1
Ghana	CutedIvoire	23
Ghana	Denmark	179
Ghana	France	3127
Ghana	Germany	85
Ghana	Hong Kong (SARC)	296
Ghana	India	161
Ghana	Indonesia	31035
Ghana	Israel	21
Ghana	Italy	20
Ghana	Lebanon	47
Ghana	Malaysia	62551
Ghana	Netherlands	6025
Ghana	Niger	51
Ghana	Portugal	22
Ghana	Saudi Arabia	7
Ghana	Singapore	9012
Ghana	South Africa	129
Ghana	Spain	912
Ghana	Switzerland	1
Ghana	Thailand	1
Ghana	Togo	669
Ghana	Turkey	103
Ghana	United Arab Emirates	815
Ghana	United Kingdom	348
Ghana	United States of America	224
Gibraltar	Belgium	41
Gibraltar	Bulgaria	1
Gibraltar	France	47
Gibraltar	Germany	14
Gibraltar	Netherlands	3
Gibraltar	Spain	499
Gibraltar	Ukraine	3646
Gibraltar	United Kingdom	242
Greece	Australia	42
Greece	Austria	3642
Greece	Bangladesh	6
Greece	Belgium	53428
Greece	Bosnia and Herzegovina	92
Greece	Brazil	33955
Greece	Bulgaria	23865
Greece	Chile	1260
Greece	China	11413
Greece	Chinese Taipei	71
Greece	Cyprus	2553
Greece	Czech Republic	2
Greece	Denmark	6416
Greece	Egypt	203
Greece	France	2904
Greece	Germany	19125
Greece	Ghana	143
Greece	Hungary	2941
Greece	Iceland	3729
Greece	India	332
Greece	Indonesia	66426
Greece	Israel	2768
Greece	Italy	36158
Greece	Kenya	547
Greece	Latvia	26
Greece	Lithuania	206
Greece	Malaysia	40103
Greece	Montenegro	32
Greece	Netherlands	11946
Greece	Norway	19863
Greece	Pakistan	4
Greece	Panama	3554
Greece	Papua New Guinea	23312
Greece	Peru	1389
Greece	Philippines	35
Greece	Poland	137
Greece	Portugal	27
Greece	Romania	5174
Greece	Russian Federation	21645
Greece	Serbia	271
Greece	Slovenia	2
Greece	South Africa	238
Greece	Spain	25404
Greece	Sudan	3
Greece	Sweden	2090
Greece	Switzerland	18
Greece	Thailand	38
Greece	Turkey	3627
Greece	Ukraine	24003
Greece	United Kingdom	1674
Greece	United States of America	456
Guatemala	Argentina	48098
Guatemala	Belgium	23
Guatemala	Brazil	25125
Guatemala	Canada	6490
Guatemala	Chile	352
Guatemala	China	6
Guatemala	Colombia	19
Guatemala	Costa Rica	1675
Guatemala	Denmark	2
Guatemala	Ecuador	24
Guatemala	El Salvador	21338
Guatemala	France	5
Guatemala	Germany	115
Guatemala	Greece	1
Guatemala	Honduras	17937
Guatemala	Hong Kong (SARC)	169
Guatemala	Italy	261
Guatemala	Malaysia	641
Guatemala	Mexico	3509
Guatemala	Netherlands	30
Guatemala	Nicaragua	687
Guatemala	Panama	96
Guatemala	Peru	121
Guatemala	Republic of Korea	3
Guatemala	Singapore	1265
Guatemala	Spain	1894
Guatemala	United Kingdom	1
Guatemala	United States of America	111424
Guinea	Belgium	593
Guinea	Brazil	7
Guinea	Canada	36
Guinea	China	2
Guinea	CutedIvoire	4
Guinea	France	1829
Guinea	Germany	93
Guinea	India	1260
Guinea	Indonesia	3027
Guinea	Italy	5
Guinea	Lebanon	3
Guinea	Malaysia	4180
Guinea	Morocco	245
Guinea	Netherlands	1350
Guinea	Portugal	1
Guinea	Saudi Arabia	58
Guinea	Singapore	1582
Guinea	Switzerland	32
Guinea	Thailand	29
Guinea	Tunisia	739
Guinea	United Arab Emirates	48
Guinea	United Kingdom	1
Guinea	United States of America	2907
Guyana	Argentina	59
Guyana	Barbados	443
Guyana	Belgium	48
Guyana	Brazil	231
Guyana	Canada	23
Guyana	China	7
Guyana	Colombia	561
Guyana	Indonesia	49
Guyana	Malaysia	2881
Guyana	Netherlands	1379
Guyana	Sweden	538
Guyana	Trinidad and Tobago	581
Guyana	United Kingdom	134
Guyana	United States of America	2127
Haiti	Argentina	7001
Haiti	Bahamas	4
Haiti	Belgium	130
Haiti	Canada	903
Haiti	Colombia	20
Haiti	Denmark	7
Haiti	Dominican Republic	11230
Haiti	Egypt	468
Haiti	France	220
Haiti	Germany	24
Haiti	Guatemala	369
Haiti	Indonesia	60
Haiti	Italy	60
Haiti	Malaysia	75063
Haiti	Netherlands	249
Haiti	Sweden	59
Haiti	Turkey	109
Haiti	United States of America	39249
Haiti	Venezuela	49
Hong Kong (SARC)	Argentina	8279
Hong Kong (SARC)	Australia	13566
Hong Kong (SARC)	Belgium	724
Hong Kong (SARC)	Brazil	18350
Hong Kong (SARC)	Canada	31595
Hong Kong (SARC)	Chile	5
Hong Kong (SARC)	China	64345
Hong Kong (SARC)	Chinese Taipei	12469
Hong Kong (SARC)	Denmark	72
Hong Kong (SARC)	France	336
Hong Kong (SARC)	Germany	693
Hong Kong (SARC)	Greece	83
Hong Kong (SARC)	India	4151
Hong Kong (SARC)	Indonesia	40741
Hong Kong (SARC)	Ireland	39
Hong Kong (SARC)	Italy	7551
Hong Kong (SARC)	Japan	3165
Hong Kong (SARC)	Macao (SAR)	56
Hong Kong (SARC)	Malaysia	197072
Hong Kong (SARC)	Netherlands	3954
Hong Kong (SARC)	New Zealand	216
Hong Kong (SARC)	Philippines	15
Hong Kong (SARC)	Portugal	54
Hong Kong (SARC)	Republic of Korea	658
Hong Kong (SARC)	Singapore	9235
Hong Kong (SARC)	Spain	2397
Hong Kong (SARC)	Switzerland	53
Hong Kong (SARC)	Thailand	779
Hong Kong (SARC)	Tunisia	15
Hong Kong (SARC)	Turkey	273
Hong Kong (SARC)	United Arab Emirates	14
Hong Kong (SARC)	United Kingdom	1902
Hong Kong (SARC)	United States of America	48770
Hong Kong (SARC)	Viet Nam	26
Hungary	Argentina	65
Hungary	Australia	2
Hungary	Austria	41402
Hungary	Belgium	13774
Hungary	Bulgaria	4
Hungary	China	624
Hungary	Croatia	1077
Hungary	Czech Republic	42757
Hungary	Denmark	562
Hungary	France	1069
Hungary	Germany	53773
Hungary	Greece	2122
Hungary	Hong Kong (SARC)	69
Hungary	India	6
Hungary	Indonesia	586
Hungary	Israel	4
Hungary	Italy	35668
Hungary	Japan	2
Hungary	Lebanon	1
Hungary	Malaysia	4520
Hungary	Netherlands	35638
Hungary	Norway	125
Hungary	Poland	29789
Hungary	Portugal	150
Hungary	Romania	33487
Hungary	Russian Federation	65
Hungary	Serbia	5740
Hungary	Singapore	81
Hungary	Slovakia	15069
Hungary	Slovenia	148
Hungary	Spain	4087
Hungary	Sweden	3187
Hungary	Switzerland	47
Hungary	Syrian Arab Republic	2
Hungary	Thailand	46
Hungary	Turkey	49
Hungary	Ukraine	6395
Hungary	United Kingdom	2460
Hungary	United States of America	871
Iceland	Australia	47
Iceland	Austria	2
Iceland	Belgium	1231
Iceland	Canada	127
Iceland	China	34
Iceland	Denmark	3991
Iceland	Ecuador	279
Iceland	Faroe Islands	291
Iceland	Finland	122
Iceland	France	2511
Iceland	Germany	1975
Iceland	Greece	15
Iceland	Italy	1629
Iceland	Japan	7
Iceland	Morocco	5037
Iceland	Netherlands	3697
Iceland	Norway	10155
Iceland	Peru	1298
Iceland	Philippines	12
Iceland	Poland	10
Iceland	Portugal	201
Iceland	Seychelles	470
Iceland	Singapore	1
Iceland	South Africa	2
Iceland	Spain	109
Iceland	Sweden	812
Iceland	Switzerland	1
Iceland	Thailand	1012
Iceland	Turkey	6
Iceland	United Kingdom	354
Iceland	United States of America	903
India	Argentina	290000
India	Australia	137
India	Austria	1
India	Bangladesh	643
India	Belgium	2008
India	Bhutan	15013
India	Brazil	99674
India	Cambodia	2016
India	Canada	208
India	Cayman Islands	119
India	Chile	340
India	China	17025
India	Czech Republic	95
India	Denmark	254
India	France	135
India	Germany	267
India	Ghana	212
India	Greece	398
India	Hong Kong (SARC)	8
India	Iceland	318
India	Indonesia	2183990
India	Israel	4
India	Italy	5440
India	Japan	337
India	Lebanon	12
India	Malaysia	383017
India	Mexico	1318
India	Nepal	22322
India	Netherlands	3412
India	New Zealand	5
India	Norway	10
India	Oman	177
India	Peru	178
India	Philippines	11199
India	Poland	101
India	Portugal	85
India	Republic of Korea	118
India	Russian Federation	4306
India	Saudi Arabia	1
India	Singapore	7059
India	Spain	6273
India	Sri Lanka	38401
India	Sweden	47
India	Switzerland	315
India	Thailand	37939
India	Turkey	732
India	Ukraine	19016
India	United Arab Emirates	798
India	United Kingdom	3478
India	United States of America	4632
India	Uruguay	3
